time,vx,vy,vz
0.238750,8.630417,-1.328366,3.764881
0.240000,8.367110,-1.164899,3.705913
0.241250,8.040600,-0.844676,3.728924
0.242500,7.627625,-0.491613,3.646844
0.243750,6.996928,-0.118230,3.489983
0.245000,6.487213,0.319047,3.535385
0.246250,6.040698,0.646833,3.711577
0.247500,5.392088,0.876021,3.744672
0.248750,4.835484,0.992234,3.626707
0.250000,4.365271,0.766246,3.341724
0.251250,3.946427,0.287003,2.927263
0.252500,3.498258,-0.092619,2.521823
0.253750,3.038720,-0.301681,2.063558
0.255000,2.617921,-0.524124,1.604303
0.256250,2.259027,-0.836499,1.211725
0.257500,1.970255,-1.050705,0.994279
0.258750,1.741672,-1.128322,0.899893
0.260000,1.713870,-1.090264,0.869974
0.261250,1.826036,-0.893223,1.116967
0.262500,1.958145,-0.539852,1.435476
0.263750,2.291686,-0.103788,1.711717
0.265000,2.707094,0.331067,2.181126
0.266250,3.089060,0.714695,2.555498
0.267500,3.559238,0.985881,2.716724
0.268750,4.159351,1.239213,2.919587
0.270000,4.849172,1.453221,3.141361
0.271250,5.448451,1.450168,3.277207
0.272500,6.049412,1.081876,3.299785
0.273750,6.625977,0.650052,3.179242
0.275000,7.237108,0.335226,3.075344
0.276250,7.697295,0.100828,3.018432
0.277500,7.971072,0.017234,2.942557
0.278750,8.314782,-0.217110,2.901036
0.280000,8.515887,-0.437036,2.984778
0.281250,8.400734,-0.421508,3.217117
0.282500,8.153990,-0.294760,3.541871
0.283750,8.061163,-0.055350,4.005549
0.285000,7.963241,0.220715,4.524985
0.286250,7.645681,0.577799,5.037625
0.287500,7.280959,1.077255,5.643883
0.288750,6.912511,1.546925,6.282184
0.290000,6.432570,1.895934,6.726175
0.291250,5.776142,2.051960,6.907854
0.292500,5.124278,1.984751,6.924365
0.293750,4.604326,1.796174,6.892185
0.295000,4.130625,1.524048,6.794190
0.296250,3.739587,1.119022,6.426417
0.297500,3.414997,0.702907,6.003687
0.298750,3.128415,0.434529,5.731496
0.300000,2.949975,0.313274,5.569609
0.301250,2.961093,0.394062,5.408014
0.302500,3.006858,0.577916,5.274140
0.303750,3.047519,0.661081,5.315833
0.305000,3.226066,0.813749,5.401658
0.306250,3.600384,1.103048,5.491338
0.307500,4.134565,1.363866,5.636512
0.308750,4.717799,1.603144,5.827948
0.310000,5.382726,1.959262,5.975725
0.311250,6.037292,2.344569,6.075448
0.312500,6.600597,2.501280,6.067449
0.313750,7.060593,2.379376,5.802013
0.315000,7.596028,2.275516,5.409965
0.316250,8.176143,2.149345,4.989882
0.317500,8.735346,1.787997,4.498616
0.318750,9.295870,1.472955,3.956118
0.320000,9.761323,1.129296,3.310894
0.321250,10.105811,0.691743,2.633985
0.322500,10.311184,0.450892,2.171654
0.323750,10.415744,0.385770,1.930739
0.325000,10.425962,0.445374,1.860079
0.326250,10.316739,0.687513,1.872048
0.327500,10.026390,1.040638,1.914874
0.328750,9.565363,1.456039,1.938456
0.330000,9.118080,1.801067,1.994259
0.331250,8.601016,2.209951,2.085193
0.332500,7.947350,2.546342,2.098527
0.333750,7.411365,2.611330,2.027959
0.335000,6.828138,2.629271,1.736993
0.336250,6.043755,2.593346,1.363802
0.337500,5.191368,2.474767,1.041139
0.338750,4.454215,2.151503,0.559634
0.340000,3.787697,1.690202,0.004612
0.341250,3.295059,1.307496,-0.415299
0.342500,3.061879,0.977942,-0.675915
0.343750,2.854973,0.696911,-0.796538
0.345000,2.748553,0.597314,-0.850227
0.346250,2.793425,0.761951,-0.859538
0.347500,2.817593,0.953264,-0.824123
0.348750,2.980159,1.133330,-0.592235
0.350000,3.391477,1.408200,-0.104856
0.351250,3.924764,1.777273,0.428554
0.352500,4.422587,2.200963,0.930162
0.353750,4.856645,2.575621,1.432079
0.355000,5.325161,2.780130,1.746488
0.356250,5.872570,2.733209,1.993105
0.357500,6.628500,2.572003,2.180762
0.358750,7.521102,2.353988,2.206939
0.360000,8.323457,2.054128,2.059543
0.361250,8.809908,1.790715,1.921832
0.362500,9.076520,1.542227,1.849234
0.363750,9.490604,1.198650,1.706194
0.365000,9.799068,0.836455,1.700788
0.366250,9.870932,0.563612,1.786637
0.367500,9.866972,0.560836,2.013197
0.368750,9.724617,0.748630,2.280866
0.370000,9.513630,1.049623,2.584761
0.371250,9.247082,1.443304,3.063955
0.372500,8.898003,1.805419,3.616884
0.373750,8.508194,2.169820,4.151534
0.375000,7.981328,2.564919,4.519792
0.376250,7.386477,2.798879,4.750397
0.377500,6.866314,2.881878,5.058559
0.378750,6.307510,2.904881,5.288758
0.380000,5.786703,2.800403,5.212171
0.381250,5.287285,2.599594,5.027669
0.382500,4.833409,2.240796,4.797263
0.383750,4.479048,1.788039,4.503668
0.385000,4.090347,1.351066,4.293327
0.386250,3.777508,1.121709,4.170105
0.387500,3.625525,1.057524,4.139783
0.388750,3.535446,0.996636,4.321106
0.390000,3.590104,1.007008,4.520931
0.391250,3.821326,1.165779,4.552621
0.392500,4.102802,1.556908,4.665306
0.393750,4.442281,2.051665,4.938184
0.395000,4.857379,2.402113,5.203811
0.396250,5.375211,2.754352,5.379143
0.397500,5.941828,3.040104,5.488185
0.398750,6.509933,3.144853,5.457021
0.400000,7.220831,3.161329,5.178523
0.401250,7.870187,3.016938,4.811794
0.402500,8.451120,2.706841,4.401839
0.403750,9.060844,2.287471,3.785348
0.405000,9.601119,1.825425,3.074338
0.406250,10.032451,1.438573,2.457436
0.407500,10.342388,1.264075,1.923997
0.408750,10.467521,1.096813,1.425920
0.410000,10.367709,0.984793,1.180620
0.411250,10.397915,1.207972,1.188562
0.412500,10.451333,1.449040,1.242554
0.413750,10.284737,1.724086,1.334682
0.415000,10.056647,2.167792,1.420701
0.416250,9.529785,2.681986,1.512787
0.417500,8.832542,3.248076,1.570687
0.418750,8.239177,3.614928,1.565348
0.420000,7.664779,3.813196,1.545936
0.421250,7.026598,3.901893,1.523666
0.422500,6.363356,3.836451,1.319603
0.423750,5.741578,3.669527,1.029105
0.425000,5.152337,3.381262,0.701651
0.426250,4.668992,3.065637,0.199912
0.427500,4.248078,2.887902,-0.337203
0.428750,3.944929,2.742299,-0.814823
0.430000,3.815873,2.573223,-1.056888
0.431250,3.860750,2.392344,-1.065111
0.432500,4.105604,2.327519,-0.951944
0.433750,4.494562,2.467661,-0.705639
0.435000,4.845571,2.778963,-0.312415
0.436250,5.243508,3.210480,0.103644
0.437500,5.788343,3.594224,0.499166
0.438750,6.378218,3.923445,0.923248
